Full dataset,,,,,,,,,,,,,,,,,
,Field labels,GP7,SrpI-like,Gp13-like,Gp10A-like,Phage_cap_E,P22_CoatProtein,Phage_capsid,Phage_capsid_2,Linocin_M18,L_lactis_ph-MCP,DUF2184,ENC_III,ENCP4,DUF6260,DUF5309,Total
,Notes,,,,,,,,,,,,,,,,
,Generated_by,Co_occurrence_tkinter.py,,,,,,,,,,,,,,,
,Date,12/1/25,,,,,,,,,,,,,,,
Mini_DTR_156067_2,Mini_DTR_156067_2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
Mini_DTR_381167_12,Mini_DTR_381167_12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
Control_DTR_316164_22,Control_DTR_316164_22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
Mini_DTR_469626_9,Mini_DTR_469626_9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_166448_1,Mini_DTR_166448_1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
Mini_DTR_782037_8,Mini_DTR_782037_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_074463_14,Control_DTR_074463_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mini_DTR_326085_2,Mini_DTR_326085_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_133317_9,Mini_DTR_133317_9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Mini_DTR_366879_5,Mini_DTR_366879_5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Control_DTR_142903_7,Control_DTR_142903_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_731668_7,Mini_DTR_731668_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_635103_12,Mini_DTR_635103_12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_310590_32,Control_DTR_310590_32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_494278_4,Mini_DTR_494278_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_262701_5,Mini_DTR_262701_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_461265_13,Mini_DTR_461265_13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
Mini_DTR_812511_9,Mini_DTR_812511_9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
Mini_DTR_263520_1,Mini_DTR_263520_1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
Mini_DTR_498287_10,Mini_DTR_498287_10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_263511_13,Mini_DTR_263511_13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mini_DTR_024670_7,Mini_DTR_024670_7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_669094_11,Control_DTR_669094_11,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
Mini_DTR_564673_4,Mini_DTR_564673_4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_383740_13,Mini_DTR_383740_13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Control_DTR_742881_12,Control_DTR_742881_12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
Mini_DTR_833741_3,Mini_DTR_833741_3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
Mini_DTR_682804_4,Mini_DTR_682804_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_432900_13,Mini_DTR_432900_13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
Mini_DTR_334798_8,Mini_DTR_334798_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_526455_13,Control_DTR_526455_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_387984_10,Control_DTR_387984_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_577904_1,Mini_DTR_577904_1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
