"metric","group1","group2","n1","n2","mean1","mean2","median1","median2","higher_mean_group","higher_median_group","diff_mean","diff_mean_lo","diff_mean_hi","diff_median","diff_median_lo","diff_median_hi","cliffs_delta","delta_lo","delta_hi","prob_superiority","delta_mag","p_primary","p_stars","significant","primary_method","p_perm_median","p_perm_median_BH","p_perm_median_Holm"
"enc_perc_fraction","Refseq","ENC_2",17,31,51.0680268488235,100,52.78998243,100,"ENC_2","ENC_2",-48.9319731511765,-54.41161217275,-43.73895194075,-47.21001757,-50.84700188,-42.80709437,-1,-1,-1,0,"large",9.71879588523487e-12,"****",TRUE,"Dunn (rstatix) + BH [p.adj returned]",2e-04,0.00105,0.0042
"enc_perc_fraction","Refseq","ENC_1",17,55,51.0680268488235,98.9832850638182,52.78998243,100,"ENC_1","ENC_1",-47.9152582149947,-53.230346253573,-42.4895598440682,-47.21001757,-50.84700188,-42.80709437,-1,-1,-1,0,"large",1.28152498617191e-10,"****",TRUE,"Dunn (rstatix) + BH [p.adj returned]",2e-04,0.00105,0.0042
"enc_perc_fraction","Control","ENC_2",20,31,59.9511326425,100,64.50806003,100,"ENC_2","ENC_2",-40.0488673575,-51.00739385675,-28.8676603712625,-35.49193997,-64.291888815,-27.35105859,-0.8,-0.95,-0.6,0.1,"large",6.44442684161502e-09,"****",TRUE,"Dunn (rstatix) + BH [p.adj returned]",2e-04,0.00105,0.0042
"enc_perc_fraction","Refseq","ENC_4",17,14,51.0680268488235,100,52.78998243,100,"ENC_4","ENC_4",-48.9319731511765,-54.4866943536324,-44.0350714774853,-47.21001757,-50.84700188,-42.80709437,-1,-1,-1,0,"large",6.85259815821021e-09,"****",TRUE,"Dunn (rstatix) + BH [p.adj returned]",0.0052,0.01365,0.078
"enc_perc_fraction","Control","ENC_1",20,55,59.9511326425,98.9832850638182,64.50806003,100,"ENC_1","ENC_1",-39.0321524213182,-49.975220281933,-28.0045414795728,-35.49193997,-64.291888815,-27.35105859,-0.76,-0.941818181818182,-0.534545454545455,0.12,"large",1.09612351552557e-07,"****",TRUE,"Dunn (rstatix) + BH [p.adj returned]",2e-04,0.00105,0.0042
"enc_perc_fraction","Mini","Refseq",93,17,83.4423443797849,51.0680268488235,100,52.78998243,"Mini","Mini",32.3743175309614,25.1022331691931,39.904667565895,47.21001757,42.80709437,50.84700188,0.662239089184061,0.50404807084124,0.800158127767236,0.83111954459203,"large",5.05443661339726e-07,"****",TRUE,"Dunn (rstatix) + BH [p.adj returned]",0.004,0.01365,0.068
"enc_perc_fraction","Control","ENC_4",20,14,59.9511326425,100,64.50806003,100,"ENC_4","ENC_4",-40.0488673575,-50.8375588431375,-28.323962973425,-35.49193997,-64.291888815,-27.35105859,-0.8,-0.95,-0.6,0.1,"large",1.26118456660362e-06,"****",TRUE,"Dunn (rstatix) + BH [p.adj returned]",0.083,0.1743,0.996
"enc_perc_fraction","Mini","ENC_2",93,31,83.4423443797849,100,100,100,"ENC_2","ENC_2",-16.5576556202151,-22.4416671586156,-11.4025151501317,0,0,0,-0.387096774193548,-0.494623655913978,-0.290322580645161,0.306451612903226,"medium",0.000219062977702944,"***",TRUE,"Dunn (rstatix) + BH [p.adj returned]",1,1,1
"enc_perc_fraction","Mini","Control",93,20,83.4423443797849,59.9511326425,100,64.50806003,"Mini","Mini",23.4912117372849,11.0030922281793,35.615975150378,35.49193997,27.35105859,64.291888815,0.455913978494624,0.223655913978495,0.66994623655914,0.727956989247312,"medium",0.000222413387213263,"***",TRUE,"Dunn (rstatix) + BH [p.adj returned]",0.004,0.01365,0.068
"enc_perc_fraction","Mini","ENC_1",93,55,83.4423443797849,98.9832850638182,100,100,"ENC_1","ENC_1",-15.5409406840332,-21.3412153711134,-10.026278056364,0,0,0,-0.242619745845552,-0.376739980449658,-0.102634408602151,0.378690127077224,"small",0.00528349555966976,"**",TRUE,"Dunn (rstatix) + BH [p.adj returned]",1,1,1
"enc_perc_fraction","Mini","ENC_4",93,14,83.4423443797849,100,100,100,"ENC_4","ENC_4",-16.5576556202151,-22.1893365511048,-11.1935185872366,0,0,0,-0.387096774193548,-0.483870967741935,-0.290322580645161,0.306451612903226,"medium",0.00725035570777215,"**",TRUE,"Dunn (rstatix) + BH [p.adj returned]",1,1,1
