"row","Micro","Mini","Control","Fringe","Refseq","PICIs","ENC_1","ENC_2","ENC_3","ENC_4"
"Micro",NA,0.885,1,0.003,0,0.059,3.43e-10,0.005,NA,0.00062
"Mini",0.885,NA,0.074,0.012,0,0.132,0,0.009,NA,0.003
"Control",1,0.074,NA,0.005,0,0.001,0,0.000106,NA,0.000723
"Fringe",0.003,0.012,0.005,NA,1,0.081,1,0.203,NA,0.975
"Refseq",0,0,0,1,NA,7.58e-10,0.976,2.09e-05,NA,0.893
"PICIs",0.059,0.132,0.001,0.081,7.58e-10,NA,2.42e-08,0.985,NA,0.128
"ENC_1",3.43e-10,0,0,1,0.976,2.42e-08,NA,2.24e-05,NA,0.719
"ENC_2",0.005,0.009,0.000106,0.203,2.09e-05,0.985,2.24e-05,NA,NA,0.455
"ENC_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENC_4",0.00062,0.003,0.000723,0.975,0.893,0.128,0.719,0.455,NA,NA
