"group1","group2","pair_id","n1","n2","mean1","mean2","median1","median2","diff_mean","diff_mean_lo","diff_mean_hi","diff_median","diff_median_lo","diff_median_hi","cliffs_delta","delta_lo","delta_hi","prob_superiority","p_perm_median","p_perm_median_BH","p_perm_median_Holm","p_primary","primary_method","sig_primary","p_primary_stars","delta_mag"
"Mini","Control","Control__Mini",93,20,83.4423443797849,59.9511326425,100,64.50806003,23.4912117372849,11.0030922281793,35.615975150378,35.49193997,27.35105859,64.291888815,0.455913978494624,0.223655913978495,0.66994623655914,0.727956989247312,0.004,0.01365,0.068,0.000222413387213263,"Dunn (rstatix) + BH [p.adj returned]",TRUE,"***","medium"
"Mini","Fringe","Fringe__Mini",93,1,83.4423443797849,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"Mini","Refseq","Mini__Refseq",93,17,83.4423443797849,51.0680268488235,100,52.78998243,32.3743175309614,25.1022331691931,39.904667565895,47.21001757,42.80709437,50.84700188,0.662239089184061,0.50404807084124,0.800158127767236,0.83111954459203,0.004,0.01365,0.068,5.05443661339726e-07,"Dunn (rstatix) + BH [p.adj returned]",TRUE,"****","large"
"Mini","ENC_1","ENC_1__Mini",93,55,83.4423443797849,98.9832850638182,100,100,-15.5409406840332,-21.3412153711134,-10.026278056364,0,0,0,-0.242619745845552,-0.376739980449658,-0.102634408602151,0.378690127077224,1,1,1,0.00528349555966976,"Dunn (rstatix) + BH [p.adj returned]",TRUE,"**","small"
"Mini","ENC_2","ENC_2__Mini",93,31,83.4423443797849,100,100,100,-16.5576556202151,-22.4416671586156,-11.4025151501317,0,0,0,-0.387096774193548,-0.494623655913978,-0.290322580645161,0.306451612903226,1,1,1,0.000219062977702944,"Dunn (rstatix) + BH [p.adj returned]",TRUE,"***","medium"
"Mini","ENC_3","ENC_3__Mini",93,4,83.4423443797849,100,100,100,-16.5576556202151,-22.3002621340753,-10.8573156351909,0,0,0,-0.387096774193548,-0.494623655913978,-0.290322580645161,0.306451612903226,1,1,1,NA,NA,FALSE,NA,"medium"
"Mini","ENC_4","ENC_4__Mini",93,14,83.4423443797849,100,100,100,-16.5576556202151,-22.1893365511048,-11.1935185872366,0,0,0,-0.387096774193548,-0.483870967741935,-0.290322580645161,0.306451612903226,1,1,1,0.00725035570777215,"Dunn (rstatix) + BH [p.adj returned]",TRUE,"**","medium"
"Control","Fringe","Control__Fringe",20,1,59.9511326425,100,64.50806003,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"Control","Refseq","Control__Refseq",20,17,59.9511326425,51.0680268488235,64.50806003,52.78998243,8.88310579367647,-3.06992786815367,21.2201106181779,11.7180776,-18.79689236,19.8830594552499,0.194117647058824,-0.206029411764706,0.56485294117647,0.597058823529412,0.0694,0.161933333333333,0.9022,0.222778395578178,"Dunn (rstatix) + BH [p.adj returned]",FALSE,"ns","small"
"Control","ENC_1","Control__ENC_1",20,55,59.9511326425,98.9832850638182,64.50806003,100,-39.0321524213182,-49.975220281933,-28.0045414795728,-35.49193997,-64.291888815,-27.35105859,-0.76,-0.941818181818182,-0.534545454545455,0.12,2e-04,0.00105,0.0042,1.09612351552557e-07,"Dunn (rstatix) + BH [p.adj returned]",TRUE,"****","large"
"Control","ENC_2","Control__ENC_2",20,31,59.9511326425,100,64.50806003,100,-40.0488673575,-51.00739385675,-28.8676603712625,-35.49193997,-64.291888815,-27.35105859,-0.8,-0.95,-0.6,0.1,2e-04,0.00105,0.0042,6.44442684161502e-09,"Dunn (rstatix) + BH [p.adj returned]",TRUE,"****","large"
"Control","ENC_3","Control__ENC_3",20,4,59.9511326425,100,64.50806003,100,-40.0488673575,-50.4277554527875,-29.1456532585625,-35.49193997,-64.291888815,-27.35105859,-0.8,-0.95,-0.6,0.1,0.122,0.232909090909091,1,NA,NA,FALSE,NA,"large"
"Control","ENC_4","Control__ENC_4",20,14,59.9511326425,100,64.50806003,100,-40.0488673575,-50.8375588431375,-28.323962973425,-35.49193997,-64.291888815,-27.35105859,-0.8,-0.95,-0.6,0.1,0.083,0.1743,0.996,1.26118456660362e-06,"Dunn (rstatix) + BH [p.adj returned]",TRUE,"****","large"
"Fringe","Refseq","Fringe__Refseq",1,17,100,51.0680268488235,100,52.78998243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"Fringe","ENC_1","ENC_1__Fringe",1,55,100,98.9832850638182,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"Fringe","ENC_2","ENC_2__Fringe",1,31,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"Fringe","ENC_3","ENC_3__Fringe",1,4,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"Fringe","ENC_4","ENC_4__Fringe",1,14,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"Refseq","ENC_1","ENC_1__Refseq",17,55,51.0680268488235,98.9832850638182,52.78998243,100,-47.9152582149947,-53.230346253573,-42.4895598440682,-47.21001757,-50.84700188,-42.80709437,-1,-1,-1,0,2e-04,0.00105,0.0042,1.28152498617191e-10,"Dunn (rstatix) + BH [p.adj returned]",TRUE,"****","large"
"Refseq","ENC_2","ENC_2__Refseq",17,31,51.0680268488235,100,52.78998243,100,-48.9319731511765,-54.41161217275,-43.73895194075,-47.21001757,-50.84700188,-42.80709437,-1,-1,-1,0,2e-04,0.00105,0.0042,9.71879588523487e-12,"Dunn (rstatix) + BH [p.adj returned]",TRUE,"****","large"
"Refseq","ENC_3","ENC_3__Refseq",17,4,51.0680268488235,100,52.78998243,100,-48.9319731511765,-54.2845742362794,-43.8693059501912,-47.21001757,-50.84700188,-42.80709437,-1,-1,-1,0,0.0052,0.01365,0.078,NA,NA,FALSE,NA,"large"
"Refseq","ENC_4","ENC_4__Refseq",17,14,51.0680268488235,100,52.78998243,100,-48.9319731511765,-54.4866943536324,-44.0350714774853,-47.21001757,-50.84700188,-42.80709437,-1,-1,-1,0,0.0052,0.01365,0.078,6.85259815821021e-09,"Dunn (rstatix) + BH [p.adj returned]",TRUE,"****","large"
"ENC_1","ENC_2","ENC_1__ENC_2",55,31,98.9832850638182,100,100,100,-1.01671493618181,-1.59477078745454,-0.476442125090907,0,0,0,-0.2,-0.309090909090909,-0.0909090909090909,0.4,1,1,1,0.222253498065331,"Dunn (rstatix) + BH [p.adj returned]",FALSE,"ns","small"
"ENC_1","ENC_3","ENC_1__ENC_3",55,4,98.9832850638182,100,100,100,-1.01671493618181,-1.60284511672727,-0.468810766649996,0,0,0,-0.2,-0.309090909090909,-0.109090909090909,0.4,1,1,1,NA,NA,FALSE,NA,"small"
"ENC_1","ENC_4","ENC_1__ENC_4",55,14,98.9832850638182,100,100,100,-1.01671493618181,-1.58158320341818,-0.484463390304553,0,0,0,-0.2,-0.309090909090909,-0.0909090909090909,0.4,1,1,1,0.334300992773881,"Dunn (rstatix) + BH [p.adj returned]",FALSE,"ns","small"
