"group","phage_n","phage_mean","phage_median","phage_sd","phage_iqr","phage_min","phage_max","phage_pct_at_100","enc_n","enc_mean","enc_median","enc_sd","enc_iqr","enc_min","enc_max","enc_pct_at_100"
"Micro",45,56.6848888888889,59.76,16.6641063124285,19.13,28.12,97.71,0,0,NA,NA,NA,NA,NA,NA,NA
"Mini",491,60.4322606924644,62.63,19.6403624696711,21.635,9.13,98.72,0,93,83.4423443797849,100,27.6517782391413,26.95189751,21.58204982,100,61.2903225806452
"Control",798,57.0520050125313,59.73,20.1223921349974,25.6975,8.77,97.5,0,20,59.9511326425,64.50806003,25.7327245194979,38.50079326,25.86015538,100,20
"Fringe",11,85.7418181818182,92.94,17.2615386441544,1.88499999999999,39.49,94.03,0,1,100,100,NA,0,100,100,100
"Refseq",910,84.0305494505494,89.85,14.4566220518459,15.76,21.85,98.53,0,17,51.0680268488235,52.78998243,11.4533561047253,8.03990751,27.11198428,72.62107052,0
"PICIs",66,66.8521212121212,72.42,17.2210297659712,9.2175,20.65,91.74,0,0,NA,NA,NA,NA,NA,NA,NA
"ENC_1",55,86.1816363636364,94.01,14.4387363204675,10.885,48.48,100,1.81818181818182,55,98.9832850638182,100,2.13498525209128,0,92.97510476,100,80
"ENC_2",31,69.9441935483871,77.22,12.4788650055987,25.25,52.48,83.93,0,31,100,100,0,0,100,100,100
"ENC_3",4,98.78,99.11,1.05937088248954,0.840000000000003,97.25,99.65,0,4,100,100,0,0,100,100,100
"ENC_4",14,79.1057142857143,80,13.3926407542959,4.30250000000001,40.62,97.87,0,14,100,100,0,0,100,100,100
