id,protein_id,hits_to,query_protein_length,percentage_phage_coat,percentage_encapsulin,enc_perc_fraction,group,clan_phagecoat_percentage,clan_phagecoat_percentage_adjusted
DTR_156067,DTR_156067_2,Linocin_M18|Peptidase_S78|Phage_capsid,517,47.67,13.76,28.86511433,Mini,47.67,47.67
DTR_381167,DTR_381167_12,FMN_bind|Get5_C|Phage_capsid,411,64.39,0,0,Mini,64.39,64.39
DTR_316164,DTR_316164_22,Phage_capsid,397,70.96,0,0,Control,70.96,70.96
DTR_469626,DTR_469626_9,Linocin_M18,290,34.26,34.26,100,Mini,34.26,34.26
DTR_166448,DTR_166448_1,Phage_capsid|Rossmann-like,85,88.1,0,0,Mini,88.1,88.1
DTR_782037,DTR_782037_8,DUF3375|Peptidase_S78|Phage_capsid,592,20.81,0,0,Mini,20.81,20.81
DTR_074463,DTR_074463_14,Mu-like_gpT,662,8.77,0,0,Control,8.77,8.77
DTR_326085,DTR_326085_2,Peroxin-22|Phage_capsid,420,65.39,0,0,Mini,65.39,65.39
DTR_133317,DTR_133317_9,P22_CoatProtein,282,77.94,0,0,Mini,77.94,77.94
DTR_366879,DTR_366879_5,Linocin_M18,279,60.79,60.79,100,Mini,60.79,60.79
DTR_142903,DTR_142903_7,CMV_1a|Peptidase_S78|Phage_capsid,527,44.49,0,0,Control,44.49,44.49
DTR_731668,DTR_731668_7,DUF4992|Phage_capsid,293,91.78,0,0,Mini,91.78,91.78
DTR_635103,DTR_635103_12,Phage_cap_E,352,91.45,0,0,Mini,91.45,91.45
DTR_310590,DTR_310590_32,Peptidase_S78|Peptidase_S78_2|Phage_capsid,604,58.54,0,0,Control,58.54,58.54
DTR_494278,DTR_494278_4,Phage_capsid,403,65.42,0,0,Mini,65.42,65.42
DTR_262701,DTR_262701_5,Phage_capsid,460,60.35,0,0,Mini,60.35,60.35
DTR_461265,DTR_461265_13,Phage_capsid,417,64.42,0,0,Mini,64.42,64.42
DTR_812511,DTR_812511_9,DUF2396|Phage_capsid,296,92.88,0,0,Mini,92.88,92.88
DTR_263520,DTR_263520_1,Phage_capsid|SSFA2_C,236,57.2,0,0,Mini,57.2,57.2
DTR_498287,DTR_498287_10,DUF1428|DUF4829|Linocin_M18,283,28.37,28.37,100,Mini,28.37,28.37
DTR_263511,DTR_263511_13,Phage_cap_E,372,76.28,0,0,Mini,76.28,76.28
DTR_024670,DTR_024670_7,Phage_cap_E,307,31.7,0,0,Mini,31.7,31.7
DTR_669094,DTR_669094_11,Peptidase_S78|Phage_capsid,523,22.22,0,0,Control,22.22,22.22
DTR_564673,DTR_564673_4,Linocin_M18,280,60.93,60.93,100,Mini,60.93,60.93
DTR_383740,DTR_383740_13,Linocin_M18,279,29.86,29.86,100,Mini,29.86,29.86
DTR_742881,DTR_742881_12,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_833741,DTR_833741_3,Peptidase_S78|Phage_capsid,499,50.4,0,0,Mini,50.4,50.4
DTR_682804,DTR_682804_4,Alpha-amylase|Peptidase_S78|Phage_capsid,558,49.01,0,0,Mini,49.01,49.01
DTR_432900,DTR_432900_13,Linocin_M18|Phage_capsid_2|Zot,279,41.37,30.22,73.04810249,Mini,41.37,41.37
DTR_334798,DTR_334798_8,Peptidase_S78|Phage_capsid,614,42.09,0,0,Mini,42.09,42.09
DTR_526455,DTR_526455_13,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_387984,DTR_387984_10,Phage_capsid,408,64.37,0,0,Control,64.37,64.37
DTR_577904,DTR_577904_1,DUF2184|Phage_capsid|TMF_TATA_bd,378,50.53,0,0,Mini,50.53,50.53
DTR_073930,DTR_073930_20,Phage_capsid_2,287,56.29,0,0,Control,56.29,56.29
DTR_260897,DTR_260897_6,Phage_capsid|Proteasome,424,58.87,0,0,Mini,58.87,58.87
DTR_548576,DTR_548576_11,DUF2396|Phage_capsid,294,93.52,0,0,Mini,93.52,93.52
DTR_751718,DTR_751718_10,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_350872,DTR_350872_8,Phage_capsid,411,58.29,0,0,Control,58.29,58.29
DTR_101084,DTR_101084_7,DUF4235|Peptidase_S78|Phage_capsid,524,26.96,0,0,Control,26.96,26.96
DTR_314630,DTR_314630_3,Peptidase_S78|Phage_capsid,524,32.7,0,0,Control,32.7,32.7
DTR_194669,DTR_194669_13,Linocin_M18|Phage_capsid,451,54,18.44,34.14814815,Control,54,54
DTR_519520,DTR_519520_3,DAGK_prokar|Phage_capsid,408,64.37,0,0,Control,64.37,64.37
DTR_170779,DTR_170779_7,Linocin_M18|Peptidase_S78|Phage_capsid,524,52.58,13,24.72422975,Mini,52.58,52.58
DTR_364435,DTR_364435_7,Phage_capsid,412,63.5,0,0,Mini,63.5,63.5
DTR_464867,DTR_464867_4,Phage_capsid,408,64.37,0,0,Control,64.37,64.37
DTR_877176,DTR_877176_7,COS|Phage_capsid,443,60.86,0,0,Mini,60.86,60.86
DTR_568445,DTR_568445_3,Phage_capsid,410,65.28,0,0,Control,65.28,65.28
