"id","protein_id","hits_to","query_protein_length","percentage_phage_coat","percentage_encapsulin","enc_perc_fraction","group","clan_phagecoat_percentage","clan_phagecoat_percentage_adjusted","query_genome_length","encapsulin_coverage","mcp_coverage","mcp_percentage","total_aligned","encapsulin_fraction","query_genome_length_kbp"
"DTR_156067","DTR_156067_2","Linocin_M18|Peptidase_S78|Phage_capsid",517,47.67,13.76,28.86511433,"Mini",47.67,47.67,8443,NA,NA,NA,NA,0.2886511433,8.443
"DTR_381167","DTR_381167_12","FMN_bind|Get5_C|Phage_capsid",411,64.39,0,0,"Mini",64.39,64.39,11556,NA,NA,NA,NA,0,11.556
"DTR_316164","DTR_316164_22","Phage_capsid",397,70.96,0,0,"Control",70.96,70.96,17048,NA,NA,NA,NA,0,17.048
"DTR_469626","DTR_469626_9","Linocin_M18",290,34.26,34.26,100,"Mini",34.26,34.26,8465,NA,NA,NA,NA,1,8.465
"DTR_166448","DTR_166448_1","Phage_capsid|Rossmann-like",85,88.1,0,0,"Mini",88.1,88.1,9037,NA,NA,NA,NA,0,9.037
"DTR_782037","DTR_782037_8","DUF3375|Peptidase_S78|Phage_capsid",592,20.81,0,0,"Mini",20.81,20.81,7429,NA,NA,NA,NA,0,7.429
"DTR_074463","DTR_074463_14","Mu-like_gpT",662,8.77,0,0,"Control",8.77,8.77,19879,NA,NA,NA,NA,0,19.879
"DTR_326085","DTR_326085_2","Peroxin-22|Phage_capsid",420,65.39,0,0,"Mini",65.39,65.39,8893,NA,NA,NA,NA,0,8.893
"DTR_133317","DTR_133317_9","P22_CoatProtein",282,77.94,0,0,"Mini",77.94,77.94,10337,NA,NA,NA,NA,0,10.337
"DTR_366879","DTR_366879_5","Linocin_M18",279,60.79,60.79,100,"Mini",60.79,60.79,9150,NA,NA,NA,NA,1,9.15
"DTR_142903","DTR_142903_7","CMV_1a|Peptidase_S78|Phage_capsid",527,44.49,0,0,"Control",44.49,44.49,15981,NA,NA,NA,NA,0,15.981
"DTR_731668","DTR_731668_7","DUF4992|Phage_capsid",293,91.78,0,0,"Mini",91.78,91.78,7661,NA,NA,NA,NA,0,7.661
"DTR_635103","DTR_635103_12","Phage_cap_E",352,91.45,0,0,"Mini",91.45,91.45,10701,NA,NA,NA,NA,0,10.701
"DTR_310590","DTR_310590_32","Peptidase_S78|Peptidase_S78_2|Phage_capsid",604,58.54,0,0,"Control",58.54,58.54,19870,NA,NA,NA,NA,0,19.87
"DTR_494278","DTR_494278_4","Phage_capsid",403,65.42,0,0,"Mini",65.42,65.42,8074,NA,NA,NA,NA,0,8.074
"DTR_262701","DTR_262701_5","Phage_capsid",460,60.35,0,0,"Mini",60.35,60.35,7102,NA,NA,NA,NA,0,7.102
"DTR_461265","DTR_461265_13","Phage_capsid",417,64.42,0,0,"Mini",64.42,64.42,9939,NA,NA,NA,NA,0,9.939
"DTR_812511","DTR_812511_9","DUF2396|Phage_capsid",296,92.88,0,0,"Mini",92.88,92.88,9025,NA,NA,NA,NA,0,9.025
"DTR_263520","DTR_263520_1","Phage_capsid|SSFA2_C",236,57.2,0,0,"Mini",57.2,57.2,7748,NA,NA,NA,NA,0,7.748
"DTR_498287","DTR_498287_10","DUF1428|DUF4829|Linocin_M18",283,28.37,28.37,100,"Mini",28.37,28.37,8416,NA,NA,NA,NA,1,8.416
"DTR_263511","DTR_263511_13","Phage_cap_E",372,76.28,0,0,"Mini",76.28,76.28,11207,NA,NA,NA,NA,0,11.207
"DTR_024670","DTR_024670_7","Phage_cap_E",307,31.7,0,0,"Mini",31.7,31.7,10519,NA,NA,NA,NA,0,10.519
"DTR_669094","DTR_669094_11","Peptidase_S78|Phage_capsid",523,22.22,0,0,"Control",22.22,22.22,16202,NA,NA,NA,NA,0,16.202
"DTR_564673","DTR_564673_4","Linocin_M18",280,60.93,60.93,100,"Mini",60.93,60.93,9668,NA,NA,NA,NA,1,9.668
"DTR_383740","DTR_383740_13","Linocin_M18",279,29.86,29.86,100,"Mini",29.86,29.86,8094,NA,NA,NA,NA,1,8.094
"DTR_742881","DTR_742881_12","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13072,NA,NA,NA,NA,0,13.072
"DTR_833741","DTR_833741_3","Peptidase_S78|Phage_capsid",499,50.4,0,0,"Mini",50.4,50.4,9423,NA,NA,NA,NA,0,9.423
"DTR_682804","DTR_682804_4","Alpha-amylase|Peptidase_S78|Phage_capsid",558,49.01,0,0,"Mini",49.01,49.01,8512,NA,NA,NA,NA,0,8.512
